path,size,size_readable,width,height,mtime,valid,reason
E:\HXCI\hx_unreal_binaries\HXNext\Plugins\Udini\Houdini\HDA\IMG\cutout3.tif,24698907,23.55 MB,,,2021-05-28 12:40:46,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\bg.png,24697433,23.55 MB,,,2020-09-11 21:17:52,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Content\HXGame\Map\Demo\Tex\dry_ground_01_2k_png\dry_ground_01_nor_2k.png,24640063,23.50 MB,,,2021-05-24 15:16:28,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Content\HXGame\Map\Demo\Tex\dirt_aerial_02_2k_png\dirt_aerial_02_diff_2k.png,24485283,23.35 MB,,,2021-05-24 15:16:28,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\actor2.png,24456913,23.32 MB,,,2020-09-11 21:17:32,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\actor6.png,24366896,23.24 MB,,,2020-09-11 21:17:54,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\actor1.png,24354561,23.23 MB,,,2020-09-11 21:17:32,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\actor5.png,24284917,23.16 MB,,,2020-09-11 21:17:54,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\bg1.png,24274068,23.15 MB,,,2020-09-11 21:17:54,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\actor3.png,24214044,23.09 MB,,,2020-09-11 21:17:30,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\actor4.png,24179132,23.06 MB,,,2020-09-11 21:17:30,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\ArtWork\MapRaw\juqingbeijun.png,24170818,23.05 MB,,,2020-09-11 21:02:50,True,header signature matched
E:\叶婷手机照片250602操作\2022\08\2022_08_11_16_22_IMG_1325.JPG,24128550,23.01 MB,,,2022-08-11 16:22:34,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\Assets\Resources\UI\RawImage\SpringFestvalBg\act\front1.png,24055274,22.94 MB,,,2020-09-11 21:17:54,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Content\HXGame\Map\Demo\Tex\dirt_aerial_02_2k_png\dirt_aerial_02_nor_2k.png,23957911,22.85 MB,,,2021-05-24 15:16:28,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Content\HXGame\Map\Demo\Tex\dirt_aerial_03_2k_png\dirt_aerial_03_diff_2k.png,23000665,21.94 MB,,,2021-05-24 15:16:28,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Houdini\HDA\IMG\cutout.tif,21791001,20.78 MB,,,2021-05-20 12:31:16,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Plugins\Udini\Houdini\HDA\IMG\cutout.tif,21791001,20.78 MB,,,2021-05-28 12:40:46,True,header signature matched
E:\叶婷手机照片250602操作\2022\10\2022_10_31_23_38_IMG_4083.JPG,20831974,19.87 MB,,,2022-10-31 23:38:42,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Content\HXGame\Map\Demo\Tex\dirt_aerial_03_2k_png\dirt_aerial_03_nor_2k.png,20545830,19.59 MB,,,2021-05-24 15:16:28,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\ArtWork\MapRaw\huanhai2.jpg,20280395,19.34 MB,,,2020-09-11 21:02:48,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\ArtWork\MapRaw\xuzhang.png,19978778,19.05 MB,,,2020-09-11 21:04:32,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\ArtWork\MapRaw\xianmozhanchang.jpg,19937429,19.01 MB,,,2024-10-15 20:24:22,True,header signature matched
E:\叶婷手机照片250602操作\2022\08\2022_08_10_22_15_IMG_1277.JPG,19689462,18.78 MB,,,2022-08-10 22:15:38,True,header signature matched
E:\图书馆\计算机科学\游戏引擎\Unity_Shaders_Book-master\Assets\Textures\Chapter18\PBS\wood_d.tif,19627228,18.72 MB,,,2020-04-16 19:38:42,True,header signature matched
E:\software\important\book\reading\Unity_Shaders_Book-master\Assets\Textures\Chapter18\PBS\wood_d.tif,19627228,18.72 MB,,,2020-04-16 19:38:42,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Houdini\HDA\IMG\displacement.tif,19384455,18.49 MB,,,2021-05-20 12:31:16,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Plugins\Udini\Houdini\HDA\IMG\displacement.tif,19384455,18.49 MB,,,2021-05-28 12:40:46,True,header signature matched
E:\叶婷手机照片250602操作\2022\08\2022_08_11_16_31_IMG_1327.JPG,19238629,18.35 MB,,,2022-08-11 16:31:28,True,header signature matched
E:\叶婷手机照片250602操作\2023\06\2023_06_19_04_27_IMG_9939.PNG,19233759,18.34 MB,,,2023-06-19 04:28:00,True,header signature matched
E:\software\HxMobileClient\HX_CLIENT\ArtWork\MapRaw\yaowangdian1.jpg,18860405,17.99 MB,,,2020-09-11 21:04:38,True,header signature matched
E:\HXCI\hx_unreal_binaries\HXNext\Houdini\HDA\IMG\Cliff_Displacement_05.png,18501346,17.64 MB,,,2021-05-20 12:31:16,True,header signature matched
